Trial-ID,Status,Iteration,batch_size,num_layers,num_units,Objective,loss
25,INTERMEDIATE,1,4096,6,256,369.47603543599445,376.5615178260892
26,INTERMEDIATE,1,4096,6,256,365.2104016522707,377.8108669850408
24,INTERMEDIATE,3,4096,6,256,353.6092341177289,357.21652020176344
23,INTERMEDIATE,6,4096,6,256,345.3198921032268,347.7927072499947
25,INTERMEDIATE,2,4096,6,256,360.19331828809516,363.4690497620384
26,INTERMEDIATE,2,4096,6,256,355.2798148306267,364.0441297455896
24,INTERMEDIATE,4,4096,6,256,347.617540309897,353.05846889758425
23,INTERMEDIATE,7,4096,6,256,338.9139788607334,345.76558839306756
25,INTERMEDIATE,3,4096,6,256,348.68037485794537,356.65392764003724
26,INTERMEDIATE,3,4096,6,256,350.8368406588868,357.03390083696524
24,INTERMEDIATE,5,4096,6,256,350.09988059276105,350.16569552971055
23,INTERMEDIATE,8,4096,6,256,341.96940632633004,344.14653666260995
25,INTERMEDIATE,4,4096,6,256,349.3592884208012,352.8481958541221
26,INTERMEDIATE,4,4096,6,256,347.841593280188,352.86254457088745
24,INTERMEDIATE,6,4096,6,256,341.64423270259346,347.80052645890544
23,INTERMEDIATE,9,4096,6,256,339.01121737432817,342.7970271040466
23,COMPLETED,9,4096,6,256,338.9139788607334,345.76558839306756
25,INTERMEDIATE,5,4096,6,256,350.1244745141789,350.01071030099723
26,INTERMEDIATE,5,4096,6,256,347.2422024656977,350.02005713242295
24,INTERMEDIATE,7,4096,6,256,340.7967963523053,345.79171339302036
27,INTERMEDIATE,0,4096,6,256,384.18395762522454,447.5594955025398
25,INTERMEDIATE,6,4096,6,256,346.05535337660046,347.60761665173123
26,INTERMEDIATE,6,4096,6,256,345.37349585043904,347.6803489856174
24,INTERMEDIATE,8,4096,6,256,339.42391594420087,344.15090439066995
27,INTERMEDIATE,1,4096,6,256,365.58902865831453,377.64634753859326
25,INTERMEDIATE,7,4096,6,256,342.0603852779307,345.7534230904162
26,INTERMEDIATE,7,4096,6,256,344.44877358024,345.69490546324596
24,INTERMEDIATE,9,4096,6,256,342.07082044542824,342.81178448906445
24,COMPLETED,9,4096,6,256,339.42391594420087,344.15090439066995
27,INTERMEDIATE,2,4096,6,256,355.0116670486775,363.91103640362354
25,INTERMEDIATE,8,4096,6,256,340.94155017140343,344.13043038529753
26,INTERMEDIATE,8,4096,6,256,339.9984449111542,344.0581622024147
28,INTERMEDIATE,0,4096,6,256,387.0323772204965,448.0224503755385
27,INTERMEDIATE,3,4096,6,256,353.7463856329591,356.9809150784309
25,INTERMEDIATE,9,4096,6,256,340.9279653445485,342.79151459507307
25,COMPLETED,9,4096,6,256,340.9279653445485,342.79151459507307
26,INTERMEDIATE,9,4096,6,256,338.6715091092085,342.84442289725627
26,COMPLETED,9,4096,6,256,338.6715091092085,342.84442289725627
28,INTERMEDIATE,1,4096,6,256,366.50505152492656,377.38230709244095
27,INTERMEDIATE,4,4096,6,256,347.2052494932856,353.17702275251844
29,INTERMEDIATE,0,4096,6,256,383.0767858518776,448.4683841076915
30,INTERMEDIATE,0,4096,6,256,387.91161272035424,447.1289734187646
28,INTERMEDIATE,2,4096,6,256,354.9241079190662,363.81092782252904
27,INTERMEDIATE,5,4096,6,256,344.6931904731913,350.21262783572735
29,INTERMEDIATE,1,4096,6,256,376.4163619868862,376.840806130559
30,INTERMEDIATE,1,4096,6,256,369.31308622337684,378.02297952095853
28,INTERMEDIATE,3,4096,6,256,352.7210773170417,356.98048785298903
27,INTERMEDIATE,6,4096,6,256,343.9528225702597,347.96868876127525
29,INTERMEDIATE,2,4096,6,256,358.7361626501061,363.7899044210931
30,INTERMEDIATE,2,4096,6,256,360.08621358758734,364.352598941151
28,INTERMEDIATE,4,4096,6,256,350.2550045085573,353.0616586129055
27,INTERMEDIATE,7,4096,6,256,339.8687489151109,345.89723495282783
29,INTERMEDIATE,3,4096,6,256,351.3939543424205,357.10539774588625
30,INTERMEDIATE,3,4096,6,256,351.30428571678505,357.21376493709175
28,INTERMEDIATE,5,4096,6,256,346.2257012937649,350.1853020351613
27,INTERMEDIATE,8,4096,6,256,342.48407433782626,344.328839593402
29,INTERMEDIATE,4,4096,6,256,350.44245097203174,352.97710999019
30,INTERMEDIATE,4,4096,6,256,347.26150756637537,353.0674917452665
28,INTERMEDIATE,6,4096,6,256,342.95138951565355,347.7981464418439
27,INTERMEDIATE,9,4096,6,256,341.1563617760408,342.9468820841849
27,COMPLETED,9,4096,6,256,339.8687489151109,345.89723495282783
29,INTERMEDIATE,5,4096,6,256,350.91175137513073,350.13834158948293
30,INTERMEDIATE,5,4096,6,256,344.32824389139813,350.29030672561635
28,INTERMEDIATE,7,4096,6,256,344.32677984575855,345.8190304489903
31,INTERMEDIATE,0,4096,6,256,386.0927523755013,448.6635954518329
29,INTERMEDIATE,6,4096,6,256,341.4133541792561,347.78562294118456
30,INTERMEDIATE,6,4096,6,256,345.2663748720859,347.7148455614649
28,INTERMEDIATE,8,4096,6,256,340.5795914850618,344.2262479954695
31,INTERMEDIATE,1,4096,6,256,371.14946968673814,377.3170080487339
29,INTERMEDIATE,7,4096,6,256,342.6173239588456,345.8444473225298
30,INTERMEDIATE,7,4096,6,256,346.61766536072355,345.74958178172807
28,INTERMEDIATE,9,4096,6,256,343.31303540583764,342.7972914097573
28,COMPLETED,9,4096,6,256,340.5795914850618,344.2262479954695
31,INTERMEDIATE,2,4096,6,256,357.9814358839752,364.01580325522724
29,INTERMEDIATE,8,4096,6,256,340.47559288602065,344.20300297984204
30,INTERMEDIATE,8,4096,6,256,340.7125559597151,344.0817351698968
32,INTERMEDIATE,0,4096,6,256,383.58322387046,448.2213761314162
31,INTERMEDIATE,3,4096,6,256,351.189637294616,357.27099954261394
29,INTERMEDIATE,9,4096,6,256,342.16845783837863,342.87393735456357
29,COMPLETED,9,4096,6,256,340.47559288602065,344.20300297984204
30,INTERMEDIATE,9,4096,6,256,341.0463790983737,342.7195223183569
30,COMPLETED,9,4096,6,256,340.7125559597151,344.0817351698968
32,INTERMEDIATE,1,4096,6,256,368.45028602203297,376.6468644138463
31,INTERMEDIATE,4,4096,6,256,352.0845206736391,353.12420943128166
33,INTERMEDIATE,0,4096,6,256,386.70152330511286,450.601814506041
34,INTERMEDIATE,0,4096,6,256,388.2304195692635,450.3533194763939
32,INTERMEDIATE,2,4096,6,256,355.4169532333987,363.52523776863495
31,INTERMEDIATE,5,4096,6,256,345.36056248910603,350.3232017511189
33,INTERMEDIATE,1,4096,6,256,365.1518231159688,377.3010806609565
34,INTERMEDIATE,1,4096,6,256,362.5214290844351,377.41022286411413
32,INTERMEDIATE,3,4096,6,256,352.7453739310551,356.9286939646049
31,INTERMEDIATE,6,4096,6,256,345.0588118370543,347.77114801192965
34,INTERMEDIATE,2,4096,6,256,355.14875127914104,364.07286322255146
33,INTERMEDIATE,2,4096,6,256,355.1203307654559,364.3235642889721
32,INTERMEDIATE,4,4096,6,256,347.73994567997346,353.00629593509166
31,INTERMEDIATE,7,4096,6,256,343.6977922155502,345.6347712393611
34,INTERMEDIATE,3,4096,6,256,351.26501361585395,357.3681572355785
33,INTERMEDIATE,3,4096,6,256,349.06270248557377,357.3543757669518
32,INTERMEDIATE,5,4096,6,256,353.26296364894716,350.1922075960494
31,INTERMEDIATE,8,4096,6,256,340.23634969201777,344.068854961115
34,INTERMEDIATE,4,4096,6,256,363.6084307947903,353.2087786763745
33,INTERMEDIATE,4,4096,6,256,350.5693398739429,353.352758904713
32,INTERMEDIATE,6,4096,6,256,342.79407981439687,347.81088427951516
31,INTERMEDIATE,9,4096,6,256,338.9028501397893,342.64649740043575
31,COMPLETED,9,4096,6,256,338.9028501397893,342.64649740043575
34,INTERMEDIATE,5,4096,6,256,347.9945355047853,350.3040949120046
33,INTERMEDIATE,5,4096,6,256,345.8042602764517,350.4441179038016
32,INTERMEDIATE,7,4096,6,256,344.5705002498401,345.7490289869552
35,INTERMEDIATE,0,4096,6,256,387.1307907555402,449.65029989539056
34,INTERMEDIATE,6,4096,6,256,341.3073475434143,348.01752365419134
33,INTERMEDIATE,6,4096,6,256,342.9833622610034,347.95216736052265
32,INTERMEDIATE,8,4096,6,256,341.993760557603,344.14439807487656
35,INTERMEDIATE,1,4096,6,256,365.3545983001132,377.62834040913947
34,INTERMEDIATE,7,4096,6,256,343.2978554899247,345.8453911104962
